GENOME1	GENOME2	ANI(1->2)	ANI(2->1)	AF(1->2)	AF(2->1)
POS2015-07-16-bin.100.fna	coassembly-bin.134.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.150.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.156.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.158.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.168.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.172.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.18.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.180.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.184.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.185.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.195.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.197.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.200.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.29.fna	78.29	78.29	0.74	0.00
POS2015-07-16-bin.100.fna	coassembly-bin.34.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.35.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.37.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.39.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.4.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.47.fna	70.11	70.33	0.02	0.01
POS2015-07-16-bin.100.fna	coassembly-bin.49.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.50.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.51.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.58.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.61.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.62.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.65.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.77.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.81.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.85.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.86.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.88.fna	78.65	78.65	0.74	0.00
POS2015-07-16-bin.100.fna	coassembly-bin.89.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.91.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.93.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.94.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.100.fna	37.70	77.43	0.03	0.74
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.105.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.107.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.109.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.112.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.113.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.115.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.116.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.12.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.14.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.22.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.36.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.38.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.41.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.42.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.43.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.45.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.46.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.48.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.49.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.51.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.54.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.55.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.6.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.60.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.72.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.74.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.77.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.78.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.79.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.8.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.83.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.91.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.92.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.93.fna	75.16	74.62	0.05	0.15
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.94.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.97.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-16-bin.99.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.101.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.104.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.107.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.113.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.114.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.115.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.118.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.119.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.122.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.124.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.13.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.15.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.16.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.2.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.24.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.29.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.38.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.4.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.40.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.42.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.43.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.45.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.47.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.49.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.5.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.51.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.52.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.53.fna	99.96	99.96	0.28	0.28
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.54.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.55.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.57.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.59.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.65.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.66.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.67.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.72.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.73.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.79.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.80.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.81.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.84.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.85.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.87.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.9.fna	46.34	77.30	0.12	0.00
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.93.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.96.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-07-24-bin.97.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.1.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.10.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.100.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.102.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.103.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.104.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.105.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.112.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.114.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.122.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.129.fna	37.16	80.21	0.03	0.11
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.16.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.20.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.22.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.23.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.28.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.33.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.34.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.53.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.59.fna	71.31	56.55	0.06	0.25
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.60.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.62.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.66.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.67.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.69.fna	70.01	69.59	0.06	0.02
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.72.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.81.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.82.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.84.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.9.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.92.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.94.fna	0	0	0	0
POS2015-07-16-bin.104.fna	POS2015-08-06-bin.99.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.102.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.109.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.111.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.112.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.118.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.13.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.130.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.132.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.133.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.134.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.146.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.149.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.15.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.150.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.151.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.156.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.158.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.166.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.168.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.171.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.172.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.177.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.178.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.18.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.180.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.181.fna	56.00	49.44	0.21	0.19
POS2015-07-16-bin.104.fna	coassembly-bin.184.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.185.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.191.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.194.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.195.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.197.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.200.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.29.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.3.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.30.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.34.fna	68.63	71.86	0.12	0.02
POS2015-07-16-bin.104.fna	coassembly-bin.35.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.37.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.38.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.39.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.4.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.47.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.49.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.50.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.51.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.58.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.61.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.62.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.65.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.67.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.71.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.76.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.77.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.81.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.85.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.86.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.88.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.89.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.91.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.93.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.94.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.95.fna	0	0	0	0
POS2015-07-16-bin.104.fna	coassembly-bin.97.fna	78.24	77.43	0.00	0.74
POS2015-07-16-bin.105.fna	POS2015-07-24-bin.85.fna	0	0	0	0
POS2015-07-16-bin.105.fna	POS2015-08-06-bin.10.fna	0	0	0	0
POS2015-07-16-bin.105.fna	POS2015-08-06-bin.20.fna	0	0	0	0
POS2015-07-16-bin.105.fna	POS2015-08-06-bin.99.fna	69.08	69.26	0.01	0.01
POS2015-07-16-bin.105.fna	coassembly-bin.197.fna	78.39	77.42	0.14	0.13
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.100.fna	0	0	0	0
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.105.fna	71.67	71.33	0.03	0.05
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.109.fna	72.81	73.11	0.09	0.10
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.112.fna	71.91	74.58	0.04	0.07
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.115.fna	69.48	71.29	0.03	0.03
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.116.fna	0	0	0	0
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.14.fna	0	0	0	0
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.22.fna	0	0	0	0
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.36.fna	70.81	69.23	0.05	0.08
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.38.fna	0	0	0	0
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.41.fna	71.96	71.19	0.11	0.06
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.42.fna	0	0	0	0
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.43.fna	0	0	0	0
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.45.fna	0	0	0	0
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.46.fna	72.47	73.21	0.13	0.10
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.49.fna	73.55	70.78	0.09	0.09
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.51.fna	0	0	0	0
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.54.fna	74.12	67.46	0.08	0.07
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.55.fna	70.45	59.33	0.06	0.05
POS2015-07-16-bin.107.fna	POS2015-07-16-bin.6.fna	71.21	54.93	0.02	0.17
